Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Control,130,C,0.2079,,F,0.765923754,0.827320402,0.638892777,1.107567471,0.911444939,0.827320402,0.716369171,0.85747535,,,-0.194572022,0.044370192,-0.040269562,-0.082326266,-0.144863112,-0.066778356
Control,130,D,0.2143,,M,1.129177813,1.18908463,0.796628538,0.974270702,1.181997849,1.18908463,0.866802462,1.016187839,,,-0.09874414,-0.011320357,0.072616686,0.075212765,-0.062079864,0.006973993
Control,130,E,0.1734,,F,0.527998604,0.899077924,1.014179066,0.82305529,0.960080586,0.899077924,1.307769689,0.618352085,,,0.006114642,-0.084570989,-0.017692312,-0.046202666,0.116531267,-0.20876417
Control,130,F,0.1997,,F,0.699925215,0.882612081,1.022413696,0.806117057,0.942497531,0.882612081,1.298736264,0.888740273,,,0.009626659,-0.093601889,-0.025719779,-0.054230132,0.113520967,-0.051225139
Control,130,G,0.1988,,F,0.78563949,0.920092874,1.093266964,0.380436592,1.804035103,0.920092874,1.388738685,0.777276841,,,0.038726225,-0.419717717,0.256244984,-0.036168333,0.142620533,-0.109424272
Control,130,H,0.1986,,M,0.828518617,3.062800502,0.395334491,0.650623387,0.384768005,3.062800502,0.222921627,0.553760391,,,-0.403035294,-0.18667033,-0.414801048,0.48611871,-0.651847796,-0.256678111
Control,130,I,0.1862,,F,1.046282681,1.228176638,0.463394363,0.66467819,0.583536206,1.228176638,0.687187242,1.126229181,,,-0.334049254,-0.177388571,-0.233932193,0.089260832,-0.162924912,0.051626776
Control,136,A,0.1762,23,M,0.869709815,1.180871023,0.567219512,0.948724596,0.631955149,1.180871023,0.801315242,0.829223996,,,-0.246248838,-0.02285984,-0.199313743,0.072202466,-0.096196596,-0.081328139
Control,136,B,0.1713,23,F,2.704332769,2.394710736,0.307852758,1.867007757,0.689151977,2.394710736,0.704876212,0.63061604,,,-0.511656951,0.271146122,-0.161684994,0.379253061,-0.151887146,-0.200234987
Control,136,C,,22,M,1.134407797,0.880575168,0.656096108,1.381013977,0.62541862,0.880575168,0.754595372,1.375383335,,,-0.183032538,0.140198074,-0.203829193,-0.055233566,-0.122285863,0.138423758
Control,136,D,0.1406,,F,0.900380065,1.1619259,0.526794578,0.852080272,0.893719543,1.1619259,1.165090339,0.8084145,,,-0.278358704,-0.06951949,-0.048798745,0.065178432,0.066359601,-0.092365905
Control,136,E,0.1577,22,F,0.704793579,1.064260556,0.519542041,1.027445062,0.816709026,1.064260556,1.369619509,0.349452217,,,-0.284379304,0.011758609,-0.087932645,0.027047966,0.136599934,-0.4566122
Control,136,F,0.1613,22,F,0.881850511,0.936175814,0.590283151,1.310297662,0.832426084,0.936175814,1.010177273,1.18153888,,,-0.228939613,0.117369966,-0.07965432,-0.028642583,0.004397594,0.072448017
Stress,137,A,,23,F,1.33355071,0.690087592,1.208160731,0.581651905,0.031731527,0.690087592,0.509189705,1.486926948,,,0.082124716,-0.235336845,-1.498509028,-0.161095781,-0.293120386,0.172289632
Stress,137,B,0.2733,23,F,1.227116895,0.954743258,1.332047689,0.327007264,1.202658808,0.954743258,1.053683676,1.008003353,,,0.124519773,-0.4854426,0.080142436,-0.0201134,0.022710252,0.003461977
Stress,137,C,0.2918,23,M,0.851811445,0.892867539,2.073372118,0.283036743,1.342163793,0.892867539,1.03797749,0.901146625,,,0.316677254,-0.548157182,0.127805519,-0.049212966,0.016187935,-0.045204539
Stress,137,D,0.2612,23,F,0.951717972,0.915850951,1.896902773,0.494506454,1.391101232,0.915850951,0.458642459,0.903231123,,,0.278045071,-0.305828036,0.143358735,-0.038175199,-0.338525743,-0.044201106
Stress,137,E,0.2687,22,F,0.985280234,0.670442138,2.168923348,0.525123229,1.568690505,0.670442138,0.565961239,1.003356134,,,0.336244204,-0.27973877,0.195537268,-0.173638698,-0.247213311,0.00145511
Stress,137,F,0.2721,23,F,0.823746701,0.820657075,2.57334651,0.388879365,1.712646511,0.820657075,1.707763847,0.859458829,,,0.410498269,-0.410185101,0.233667734,-0.085838282,0.232427815,-0.065774923
Stress,137,G,0.2522,23,F,0.57379449,0.664274482,2.214497038,0.533685328,1.268298277,0.664274482,1.264682427,0.951428472,,,0.345275104,-0.272714737,0.103221402,-0.177652431,0.101981484,-0.021623856
Stress,137,H,0.3013,23,M,0.41139781,0.514003967,3.360429726,0.297108391,1.510012763,0.514003967,1.057341801,0.974792532,,,0.526394818,-0.527085083,0.178980618,-0.289033529,0.024215402,-0.011087807
Stress,139,A,0.1886,22,F,0.556816044,0.675105432,0.476422152,0.881110331,0.587595021,0.675105432,0.662247237,0.861446897,,,-0.322008054,-0.054969707,-0.230921893,-0.170628398,-0.178979845,-0.064771489
Stress,139,B,0.153,22,F,0.883890374,1.410804484,0.614994637,0.86998429,0.677312759,1.410804484,0.684809754,0.770126371,,,-0.211128671,-0.06048859,-0.169210743,0.149466831,-0.164430062,-0.113438005
Stress,139,C,0.146,22,F,1.144940548,1.074142003,0.348358757,2.172055933,0.327877182,1.074142003,0.253567513,1.280316449,,,-0.457973268,0.336871005,-0.484288806,0.031061699,-0.595906389,0.107317325
Stress,139,D,0.1663,23,M,1.139662004,1.067955401,0.471766779,1.096744842,0.879889388,1.067955401,0.91252869,0.957492951,,,-0.326272645,0.040105601,-0.05557192,0.028553116,-0.039753472,-0.018864415
